Test: static shards ...
007064 CLRK C33 | PutAppend | Request key:0, value:VAuklCRtuMeqd-jFU7OC, op:Put, opNum: 1, shard:8
007342 KCFG KV101-1 | Config | Config Outdated. Previous config: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, Current config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, prevConfigNum: 0, currConfigNum: 1
007344 KCFG KV101-1 | Config | Receieved raft start() result, index: 1
007344 KCFG KV101-1 | Config | Waiting for raft apply result from resultCh: 0xc00008c8a0
007396 KAPL KV101-1 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
007396 KAPC KV101-1 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
007399 KCFG KV101-1 | Config | Updated config from {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]} to {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
007478 KCFG KV101-1 | Config | Config Outdated. Previous config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, Current config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}, prevConfigNum: 1, currConfigNum: 2
007481 KCFG KV101-1 | Config | Receieved raft start() result, index: 2
007481 KCFG KV101-1 | Config | Waiting for raft apply result from resultCh: 0xc00008cba0
007495 KAPL KV101-1 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]} }
007495 KAPC KV101-1 | Apply Config | config, old: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, new: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}
007496 KCFG KV101-1 | UpdateShardsStatus | shardsToRecv: {true, true, true, true, true, false, false, false, false, false}
007496 KCFG KV101-1 | Config | Updated config from {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} to {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}, shardsToRecv: {true, true, true, true, true, false, false, false, false, false}
007576 KAPL KV101-2 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
007578 KAPC KV101-2 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
007577 KAPL KV101-0 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
007582 KAPC KV101-0 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
007679 KAPL KV101-0 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]} }
007683 KAPC KV101-0 | Apply Config | config, old: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, new: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}
007683 KCFG KV101-0 | UpdateShardsStatus | shardsToRecv: {true, true, true, true, true, false, false, false, false, false}
007685 KAPL KV101-2 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]} }
007686 KAPC KV101-2 | Apply Config | config, old: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, new: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}
007686 KCFG KV101-2 | UpdateShardsStatus | shardsToRecv: {true, true, true, true, true, false, false, false, false, false}
008115 KP&A KV100-0 | PutAppend | Replying ErrWrongGroup, args: {Key:0 Value:VAuklCRtuMeqd-jFU7OC Op:Put Client:1919568453260478433 OpNum:1}, shard: 8
009178 KP&A KV100-0 | PutAppend | Replying ErrWrongGroup, args: {Key:0 Value:VAuklCRtuMeqd-jFU7OC Op:Put Client:1919568453260478433 OpNum:1}, shard: 8
010247 KP&A KV100-0 | PutAppend | Replying ErrWrongGroup, args: {Key:0 Value:VAuklCRtuMeqd-jFU7OC Op:Put Client:1919568453260478433 OpNum:1}, shard: 8
011418 KP&A KV100-0 | PutAppend | Replying ErrWrongGroup, args: {Key:0 Value:VAuklCRtuMeqd-jFU7OC Op:Put Client:1919568453260478433 OpNum:1}, shard: 8
011748 KCFG KV102-0 | Config | Config Outdated. Previous config: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, Current config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, prevConfigNum: 0, currConfigNum: 1
011749 KCFG KV102-0 | Config | Receieved raft start() result, index: 1
011750 KCFG KV102-0 | Config | Waiting for raft apply result from resultCh: 0xc000022e40
011840 KAPL KV102-0 | applier | Received message from applyCh: { OpType: Config, Config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]} }
011842 KAPC KV102-0 | Apply Config | config, old: {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]}, new: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}
011843 KCFG KV102-0 | Config | Updated config from {ConfigNum: 0 , Shards: [0 0 0 0 0 0 0 0 0 0], Groups: map[]} to {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, shardsToRecv: {false, false, false, false, false, false, false, false, false, false}
011942 KCFG KV102-0 | Config | Config Outdated. Previous config: {ConfigNum: 1 , Shards: [100 100 100 100 100 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2]]}, Current config: {ConfigNum: 2 , Shards: [101 101 101 101 101 100 100 100 100 100], Groups: map[100:[server-100-0 server-100-1 server-100-2] 101:[server-101-0 server-101-1 server-101-2]]}, prevConfigNum: 1, currConfigNum: 2
011944 KCFG KV102-0 | Config | Receieved raft start() result, index: 2
011944 KCFG KV102-0 | Config | Waiting for raft apply result from resultCh: 0xc0002cb080
